Source,Target,Weight,Relation
FAC20250715119475,FAC20250816060062,2.0,same_location
FAC20250816060062,FAC20251001144251,2.0,same_location
FAC20250920140814,FAC20251001144251,2.0,same_location
FAC20250617032574,FAC20250920140814,2.0,same_location
FAC20250603105662,FAC20250617032574,2.0,same_location
FAC20250427093748,FAC20250603105662,2.0,same_location
FAC20250427093748,FAC20250907072515,2.0,same_location
FAC20250731124511,FAC20250907072515,2.0,same_location
FAC20250731124511,FAC20250924083339,2.0,same_location
FAC20250508008552,FAC20250924083339,2.0,same_location
FAC20250508008552,FAC20250922081558,2.0,same_location
FAC20250712044904,FAC20250922081558,2.0,same_location
FAC20250423003069,FAC20250712044904,2.0,same_location
FAC20250423003069,FAC20250609029217,2.0,same_location
FAC20250601024615,FAC20250609029217,2.0,same_location
FAC20250601024615,FAC20250922080978,2.0,same_location
FAC20250815129280,FAC20250922080978,2.0,same_location
FAC20250815129280,FAC20251003145136,2.0,same_location
FAC20250718120264,FAC20251003145136,2.0,same_location
FAC20250608028985,FAC20250718120264,2.0,same_location
FAC20250430005747,FAC20250608028985,2.0,same_location
FAC20250426003851,FAC20250430005747,2.0,same_location
FAC20250421001524,FAC20250426003851,2.0,same_location
FAC20250421001524,FAC20250705041345,2.0,same_location
FAC20250508008581,FAC20250705041345,2.0,same_location
FAC20250508008581,FAC20250706041607,2.0,same_location
FAC20250706041607,FAC20250714045912,2.0,same_location
FAC20250714045912,FAC20250821062156,2.0,same_location
FAC20250621111654,FAC20250821062156,2.0,same_location
FAC20250525020907,FAC20250621111654,2.0,same_location
FAC20250525020907,FAC20250619034076,2.0,same_location
FAC20250426093595,FAC20250619034076,2.0,same_location
FAC20250426093595,FAC20250705040426,2.0,same_location
FAC20250629037203,FAC20250705040426,2.0,same_location
FAC20250629037203,FAC20251009146823,2.0,same_location
FAC20250902069211,FAC20251009146823,2.0,same_location
FAC20250902069211,FAC20250908136892,2.0,same_location
FAC20250420091705,FAC20250908136892,2.0,same_location
FAC20250420091705,FAC20250815058522,2.0,same_location
FAC20250422092176,FAC20250815058522,2.0,same_location
FAC20250422092176,FAC20250604106068,2.0,same_location
FAC20250604106068,FAC20250615031933,2.0,same_location
FAC20250615031933,FAC20250729051532,2.0,same_location
FAC20250728050615,FAC20250729051532,2.0,same_location
FAC20250728050615,FAC20251008146502,2.0,same_location
FAC20250601024446,FAC20251008146502,2.0,same_location
FAC20250601024446,FAC20250603105707,2.0,same_location
FAC20250603105707,FAC20250919077469,2.0,same_location
FAC20250509009502,FAC20250919077469,2.0,same_location
FAC20250509009502,FAC20250625035726,2.0,same_location
FAC20250625035726,FAC20250814057887,2.0,same_location
FAC20250521101476,FAC20250814057887,2.0,same_location
FAC20250521101476,FAC20250806054827,2.0,same_location
FAC20250806054827,FAC20251001144309,2.0,same_location
FAC20250916139528,FAC20251001144309,2.0,same_location
FAC20250611108335,FAC20250916139528,2.0,same_location
FAC20250611108335,FAC20250706042549,2.0,same_location
FAC20250701039190,FAC20250706042549,2.0,same_location
FAC20250701039190,FAC20250825064824,2.0,same_location
FAC20250629114161,FAC20250825064824,2.0,same_location
FAC20250629114161,FAC20250930084637,2.0,same_location
FAC20250817060843,FAC20250930084637,2.0,same_location
FAC20250527021939,FAC20250817060843,2.0,same_location
FAC20250527021939,FAC20250625036112,2.0,same_location
FAC20250606027048,FAC20250625036112,2.0,same_location
FAC20250606027048,FAC20250719047656,2.0,same_location
FAC20250719047656,FAC20250914138984,2.0,same_location
FAC20250907072557,FAC20250914138984,2.0,same_location
FAC20250508008915,FAC20250907072557,2.0,same_location
FAC20250508008915,FAC20250919077638,2.0,same_location
FAC20250629037181,FAC20250919077638,2.0,same_location
FAC20250629037181,FAC20251007146199,2.0,same_location
FAC20250720048012,FAC20251007146199,2.0,same_location
FAC20250720048012,FAC20250922079463,2.0,same_location
FAC20250920078170,FAC20250922079463,2.0,same_location
FAC20250918140338,FAC20250920078170,2.0,same_location
FAC20250525021401,FAC20250918140338,2.0,same_location
FAC20250525021401,FAC20250919140364,2.0,same_location
FAC20250814058159,FAC20250919140364,2.0,same_location
FAC20250814058159,FAC20250926083778,2.0,same_location
FAC20250530022723,FAC20250926083778,2.0,same_location
FAC20250506007899,FAC20250530022723,2.0,same_location
FAC20250506007899,FAC20250804052529,2.0,same_location
FAC20250804052529,FAC20250923082455,2.0,same_location
FAC20250923082455,FAC20250925142331,2.0,same_location
FAC20250809056134,FAC20250925142331,2.0,same_location
FAC20250513011627,FAC20250809056134,2.0,same_location
FAC20250513011627,FAC20250623112277,2.0,same_location
FAC20250619034040,FAC20250623112277,2.0,same_location
FAC20250619034040,FAC20250922141568,2.0,same_location
FAC20250922141568,FAC20251003144862,2.0,same_location
FAC20250829067150,FAC20251003144862,2.0,same_location
FAC20250817061095,FAC20250829067150,2.0,same_location
FAC20250817061095,FAC20250922079254,2.0,same_location
FAC20250621034692,FAC20250922079254,2.0,same_location
FAC20250608028941,FAC20250621034692,2.0,same_location
FAC20250608028941,FAC20250922079617,2.0,same_location
FAC20250922079617,FAC20251009146861,2.0,same_location
FAC20250915076368,FAC20251009146861,2.0,same_location
FAC20250915076368,FAC20251001086125,2.0,same_location
FAC20250727123147,FAC20251001086125,2.0,same_location
FAC20250613109010,FAC20250727123147,2.0,same_location
FAC20250605026077,FAC20250613109010,2.0,same_location
FAC20250605026077,FAC20250706041573,2.0,same_location
FAC20250706041573,FAC20250717119892,2.0,same_location
FAC20250607027652,FAC20250717119892,2.0,same_location
FAC20250607027652,FAC20250826065842,2.0,same_location
FAC20250526021679,FAC20250826065842,2.0,same_location
FAC20250526021679,FAC20250605025705,2.0,same_location
FAC20250605025705,FAC20250901067875,2.0,same_location
FAC20250529022236,FAC20250901067875,2.0,same_location
FAC20250529022236,FAC20250601024164,2.0,same_location
FAC20250516013254,FAC20250601024164,2.0,same_location
FAC20250516013254,FAC20250922079791,2.0,same_location
FAC20250816059445,FAC20250922079791,2.0,same_location
FAC20250623112338,FAC20250816059445,2.0,same_location
FAC20250513011459,FAC20250623112338,2.0,same_location
FAC20250513011459,FAC20250708116929,2.0,same_location
FAC20250706116454,FAC20250708116929,2.0,same_location
FAC20250706116454,FAC20250815059079,2.0,same_location
FAC20250815059079,FAC20251018090850,2.0,same_location
FAC20250717047021,FAC20251018090850,2.0,same_location
FAC20250615031515,FAC20250717047021,2.0,same_location
FAC20250615031515,FAC20250828133490,2.0,same_location
FAC20250828133490,FAC20251011089354,2.0,same_location
FAC20250926084076,FAC20251011089354,2.0,same_location
FAC20250804125611,FAC20250926084076,2.0,same_location
FAC20250804125611,FAC20250922080288,2.0,same_location
FAC20250907072326,FAC20250922080288,2.0,same_location
FAC20250521016855,FAC20250907072326,2.0,same_location
FAC20250521016855,FAC20250711044508,2.0,same_location
FAC20250711044508,FAC20250729051257,2.0,same_location
FAC20250726122963,FAC20250729051257,2.0,same_location
FAC20250726122963,FAC20251012089600,2.0,same_location
FAC20250922081484,FAC20251012089600,2.0,same_location
FAC20250508008556,FAC20250922081484,2.0,same_location
FAC20250508008556,FAC20250922081236,2.0,same_location
FAC20250826065789,FAC20250922081236,2.0,same_location
FAC20250426003818,FAC20250826065789,2.0,same_location
FAC20250426003818,FAC20250903135410,2.0,same_location
FAC20250530023690,FAC20250903135410,2.0,same_location
FAC20250530023690,FAC20250617032845,2.0,same_location
FAC20250617032845,FAC20250921078440,2.0,same_location
FAC20250607028149,FAC20250921078440,2.0,same_location
FAC20250605106361,FAC20250607028149,2.0,same_location
FAC20250530022656,FAC20250605106361,2.0,same_location
FAC20250530022656,FAC20251010088992,2.0,same_location
FAC20250625113039,FAC20251010088992,2.0,same_location
FAC20250421001846,FAC20250625113039,2.0,same_location
FAC20250421001846,FAC20250508097380,2.0,same_location
FAC20250508097380,FAC20250627113553,2.0,same_location
FAC20250627113553,FAC20250813057018,2.0,same_location
FAC20250617032064,FAC20250813057018,2.0,same_location
FAC20250525020011,FAC20250617032064,2.0,same_location
FAC20250525020011,FAC20250721121191,2.0,same_location
FAC20250713045271,FAC20250721121191,2.0,same_location
FAC20250713045271,FAC20251013148199,2.0,same_location
FAC20250704115617,FAC20251013148199,2.0,same_location
FAC20250704115617,FAC20250822064217,2.0,same_location
FAC20250817060470,FAC20250822064217,2.0,same_location
FAC20250605026178,FAC20250817060470,2.0,same_location
FAC20250605026178,FAC20250809056543,2.0,same_location
FAC20250425093251,FAC20250809056543,2.0,same_location
FAC20250425093251,FAC20250922079782,2.0,same_location
FAC20250525020945,FAC20250922079782,2.0,same_location
FAC20250525020945,FAC20251011147469,2.0,same_location
FAC20250709117344,FAC20251011147469,2.0,same_location
FAC20250517013818,FAC20250709117344,2.0,same_location
FAC20250517013818,FAC20250714045842,2.0,same_location
FAC20250714045842,FAC20250918140073,2.0,same_location
FAC20250912138176,FAC20250918140073,2.0,same_location
FAC20250721048337,FAC20250912138176,2.0,same_location
FAC20250721048337,FAC20250924083223,2.0,same_location
FAC20250907072380,FAC20250924083223,2.0,same_location
FAC20250611108240,FAC20250907072380,2.0,same_location
FAC20250611108240,FAC20250925083528,2.0,same_location
FAC20250923082492,FAC20250925083528,2.0,same_location
FAC20250913075083,FAC20250923082492,2.0,same_location
FAC20250821062055,FAC20250913075083,2.0,same_location
FAC20250525020445,FAC20250821062055,2.0,same_location
FAC20250525020445,FAC20250626036532,2.0,same_location
FAC20250626036532,FAC20250902069236,2.0,same_location
FAC20250428004265,FAC20250902069236,2.0,same_location
FAC20250428004265,FAC20250816060032,2.0,same_location
FAC20250816060032,FAC20250925142333,2.0,same_location
FAC20250428004276,FAC20250925142333,2.0,same_location
FAC20250428004276,FAC20250519014333,2.0,same_location
FAC20250519014333,FAC20250818130388,2.0,same_location
FAC20250717120072,FAC20250818130388,2.0,same_location
FAC20250717120072,FAC20250720120882,2.0,same_location
FAC20250628113740,FAC20250720120882,2.0,same_location
FAC20250628113740,FAC20250713045324,2.0,same_location
FAC20250626036465,FAC20250713045324,2.0,same_location
FAC20250626036465,FAC20250922079963,2.0,same_location
FAC20250919078046,FAC20250922079963,2.0,same_location
FAC20250902069046,FAC20250919078046,2.0,same_location
FAC20250902068402,FAC20250902069046,2.0,same_location
FAC20250502095554,FAC20250902068402,2.0,same_location
FAC20250502095554,FAC20250729051026,2.0,same_location
FAC20250525021100,FAC20250729051026,2.0,same_location
FAC20250519015830,FAC20250525021100,2.0,same_location
FAC20250519015830,FAC20250530022748,2.0,same_location
FAC20250530022748,FAC20250921141055,2.0,same_location
FAC20250703115421,FAC20250921141055,2.0,same_location
FAC20250501095221,FAC20250703115421,2.0,same_location
FAC20250501095221,FAC20250625035951,2.0,same_location
FAC20250421001630,FAC20250625035951,2.0,same_location
FAC20250421001630,FAC20250907072647,2.0,same_location
FAC20250618033014,FAC20250907072647,2.0,same_location
FAC20250618033014,FAC20250905071134,2.0,same_location
FAC20250820130780,FAC20250905071134,2.0,same_location
