accuracy,precision,recall,f1,roc_auc,pr_auc,platform,variant,seed
0.8006938227394808,0.5029119561493662,0.8164627363737486,0.6224295102819589,0.8929657372797706,0.6999847547931407,Twitter,no_graph,42
0.8080796777081468,0.5148373257061137,0.8008898776418243,0.6267682263329706,0.8917287225836372,0.7000249807909548,Twitter,unweighted_homophily,42
0.8088630259623992,0.5161637931034483,0.7992213570634038,0.6272370144041903,0.8926927540983709,0.7003888996990145,Twitter,similarity_knn,42
0.8103178155774395,0.5188299817184644,0.789210233592881,0.6260754467240238,0.8892598357316792,0.6946859869947227,Twitter,data_driven_homophily,42
0.8081915846016114,0.5152394775036284,0.7897664071190211,0.6236275801493193,0.8899664285618558,0.6949068955468061,Twitter,data_driven_homophily+node2vec64,42
0.7974485228290062,0.49793530626290433,0.8047830923248054,0.6152210884353742,0.8861851810065104,0.685828954740071,Twitter,no_graph,123
0.80091763652641,0.503329828250964,0.7986651835372637,0.6175016125564394,0.8854800686046045,0.6840276461082928,Twitter,unweighted_homophily,123
0.8105416293643688,0.5198637911464246,0.764182424916574,0.6187795541544697,0.8854801465218818,0.6841317750305689,Twitter,similarity_knn,123
0.8018128916741272,0.5047991468183434,0.7897664071190211,0.6159184558664064,0.8833948464266046,0.6791906281708208,Twitter,data_driven_homophily,123
0.8076320501342883,0.5144529820709842,0.7819799777530589,0.6206135510924741,0.8840424948364219,0.6816992086506825,Twitter,data_driven_homophily+node2vec64,123
0.7993509400179051,0.5008677542519958,0.8025583982202447,0.6167984612096602,0.8879604092963416,0.6898737700530455,Twitter,no_graph,2024
0.8040510295434199,0.5084868183459733,0.7830923248053393,0.6165973286621415,0.8849234275747998,0.6804647774737139,Twitter,unweighted_homophily,2024
0.8097582811101164,0.5179093567251462,0.7880978865406006,0.6250551389501544,0.8883958500011376,0.6919106742417918,Twitter,similarity_knn,2024
0.8012533572068039,0.503971119133574,0.7764182424916574,0.6112084063047285,0.8842986868445405,0.6797866193146674,Twitter,data_driven_homophily,2024
0.8083034914950761,0.5153042851998559,0.7958843159065628,0.6255737704918033,0.8858934197612554,0.6840447845375769,Twitter,data_driven_homophily+node2vec64,2024
0.8076320501342883,0.5140419480981159,0.8042269187986651,0.627195836044242,0.8876651028149641,0.6911711072315118,Twitter,no_graph,7
0.8072963294538944,0.5137581462708183,0.789210233592881,0.6223684210526316,0.8863020179639841,0.6883427606759083,Twitter,unweighted_homophily,7
0.809870188003581,0.5179412830735773,0.7947719688542826,0.6271669958305903,0.8881984465788237,0.6922834989676044,Twitter,similarity_knn,7
0.8088630259623992,0.5164473684210527,0.78587319243604,0.623290692545214,0.8853878145481531,0.6877023602235219,Twitter,data_driven_homophily,7
0.8118845120859445,0.5215787532275913,0.7864293659621802,0.6271900643158128,0.8871046438385666,0.6895055151352424,Twitter,data_driven_homophily+node2vec64,7
0.8038272157564906,0.5078809106830122,0.8064516129032258,0.6232538147431764,0.8885588529454757,0.6772373872104511,Twitter,no_graph,99
0.8066248880931065,0.5125089349535382,0.7975528364849833,0.6240208877284595,0.8881274639391048,0.6749032583273402,Twitter,unweighted_homophily,99
0.8044986571172784,0.5091299677765844,0.7908787541713015,0.6194728817251144,0.8877871212713855,0.678533334257898,Twitter,similarity_knn,99
0.8070725156669651,0.5133960897900073,0.7886540600667408,0.6219298245614036,0.886441723642377,0.6697259892047394,Twitter,data_driven_homophily,99
0.8078558639212176,0.51473263004729,0.7869855394883204,0.6223883879480977,0.8863645855377431,0.6745637564679108,Twitter,data_driven_homophily+node2vec64,99
