post_id,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,content_length,num_hashtags,sentiment_positive,sentiment_negative,toxicity_score,hour_sin,hour_cos,day_sin,day_cos,followers_log,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,large_account,topic_Business,topic_Climate,topic_Education,topic_Entertainment,topic_Fashion,topic_Finance,topic_Food,topic_Gaming,topic_Health,topic_Politics,topic_Science,topic_Sports,topic_Technology,topic_Travel,language_Chinese,language_English,language_French,language_German,language_Hindi,language_Japanese,language_Korean,language_Portuguese,language_Spanish,media_type_Link,media_type_Poll,media_type_Text,media_type_Video,location_Asia,location_Europe,location_North America,location_Oceania,location_South America,location_Unknown,popularity
TIK20250610108203,22,1,0,user_294276,9482,1321,0,114,3,0.05,0.227,28.3,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,9.157256000883727,1,0,0,0.723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
TIK20250421001377,14,0,0,user_226074,76,704,0,84,1,0.173,0.141,3.4,-0.4999999999999997,-0.8660254037844388,0.0,1.0,4.343805421853684,1,0,0,0.687,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TIK20250419000237,18,5,1,user_474932,21257,2719,0,145,1,0.653,0.037,7.5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,9.964488574093528,1,0,1,0.653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
TIK20250720120928,17,6,1,user_154416,252,3212,0,286,1,0.822,0.077,0.0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,5.53338948872752,1,0,1,0.822,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TIK20250924083371,22,2,0,user_341592,224,302,0,56,4,0.841,0.041,0.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,5.41610040220442,0,0,0,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
TIK20250630038381,19,0,0,user_477675,7184,2677,0,129,3,0.061,0.819,68.2,-0.9659258262890684,0.2588190451025203,0.0,1.0,8.879750798513125,1,0,0,0.819,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TIK20250629037377,21,6,1,user_278746,140,2958,0,34,1,0.766,0.054,20.1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,4.948759890378168,1,0,0,0.766,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TIK20250425093084,4,4,0,user_450608,8248,3142,0,11,3,0.271,0.173,24.3,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,9.017847259860732,0,0,0,0.557,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
TIK20250806126204,10,2,0,user_358994,108,2525,0,92,4,0.05,0.785,36.4,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,4.6913478822291435,1,0,0,0.785,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
TIK20251012147933,18,6,1,user_72894,9815,660,0,155,2,0.157,0.293,19.3,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,9.191768986390747,1,0,1,0.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
